Café;Species;Country_Origin;Fragrance_Aroma;Flavor;Aftertaste;Salt_Acid;Mouthfeel;Balance;Bitter_Sweet;Uniform_Cup;Clean_Cup;Cupper_Points;quality_score
26;Robusta;United States;7.33;7.33;7.17;7.42;7.50;7.17;7.42; 9.33; 9.33;7.17;77.17
27;Robusta;India;7.42;6.83;6.75;7.17;7.25;7.00;7.08; 9.33; 9.33;6.92;75.08
28;Robusta;Vietnam;6.75;6.67;6.50;6.83;6.92;6.83;6.67; 9.33; 9.33;7.92;73.75
29;Arabica;Ethiopia;8.67;8.83;8.67;8.75;8.42;10.00;8.50;10.00;10.00; 8.75;90.58
30;Arabica;Ethiopia;8.75;8.67;8.50;8.58;8.42;10.00;8.42;10.00;10.00; 8.58;89.92
31;Arabica;Guatemala;8.42;8.50;8.42;8.42;8.42;10.00;8.33;10.00;10.00; 9.25;89.75
32;Arabica;Ethiopia;8.17;8.58;8.42;8.42;8.25;10.00;8.50;10.00;10.00; 8.67;89.00
33;Arabica;Ethiopia;8.25;8.50;8.25;8.50;8.33;10.00;8.42;10.00;10.00; 8.58;88.83
34;Arabica;Brazil;8.58;8.42;8.42;8.50;8.33;10.00;8.25;10.00;10.00; 8.33;88.83
35;Arabica;Peru;8.42;8.50;8.33;8.50;8.25;10.00;8.25;10.00;10.00; 8.50;88.75
36;Arabica;Ethiopia;8.25;8.33;8.50;8.42;8.50; 9.33;8.33;10.00;10.00; 9.00;88.67
37;Arabica;Ethiopia;8.67;8.67;8.58;8.42;8.42; 9.33;8.33; 9.33;10.00; 8.67;88.42
38;Arabica;Ethiopia;8.08;8.58;8.50;8.50;8.42;10.00;7.67;10.00;10.00; 8.50;88.25
39;Arabica;Ethiopia;8.17;8.67;8.25;8.50;8.17;10.00;7.75;10.00;10.00; 8.58;88.08
40;Arabica;United States;8.25;8.42;8.17;8.33;8.17;10.00;8.08;10.00;10.00; 8.50;87.92
41;Arabica;United States;8.08;8.67;8.33;8.42;8.08;10.00;8.00;10.00;10.00; 8.33;87.92
42;Arabica;United States (Hawaii);8.33;8.42;8.08;8.25;8.00;10.00;8.25;10.00;10.00; 8.58;87.92
43;Arabica;Ethiopia;8.25;8.33;8.50;8.25;8.75; 9.33;8.58; 9.33;10.00; 8.50;87.83
44;Arabica;United States;8.00;8.50;8.58;8.17;8.00;10.00;8.17;10.00;10.00; 8.17;87.58
45;Arabica;Indonesia;8.33;8.25;7.83;7.75;8.42;10.00;8.50;10.00;10.00; 8.33;87.42
46;Arabica;Ethiopia;8.17;8.33;8.25;8.33;8.33; 9.33;8.42; 9.33;10.00; 8.83;87.33
47;Arabica;China;8.42;8.25;8.08;8.17;8.00;10.00;7.92;10.00;10.00; 8.42;87.25
48;Arabica;Ethiopia;8.17;8.17;8.00;8.17;8.33;10.00;8.08;10.00;10.00; 8.33;87.25
49;Arabica;United States;8.00;8.25;8.08;8.50;8.00;10.00;8.25;10.00;10.00; 8.17;87.25
50;Arabica;Costa Rica;8.08;8.25;8.00;8.17;8.33;10.00;8.00;10.00;10.00; 8.33;87.17
51;Arabica;Mexico;8.17;8.25;8.17;8.00;8.17;10.00;7.83;10.00;10.00; 8.58;87.17
52;Arabica;United States;8.25;8.33;8.17;8.17;8.17;10.00;7.83;10.00;10.00; 8.17;87.08
53;Arabica;Ethiopia;8.42;8.17;7.92;8.17;8.00;10.00;8.33;10.00;10.00; 8.08;87.08
54;Arabica;Brazil;8.50;8.50;8.00;8.00;8.00;10.00;8.00;10.00;10.00; 7.92;86.92
55;Arabica;Ethiopia;7.83;8.25;8.08;8.17;8.17;10.00;8.17;10.00;10.00; 8.25;86.92
56;Arabica;Uganda;8.42;8.17;8.17;8.17;7.92;10.00;7.83;10.00;10.00; 8.17;86.83
57;Arabica;Honduras;8.17;8.08;8.08;8.00;8.00;10.00;8.08;10.00;10.00; 8.25;86.67
58;Arabica;Taiwan;8.00;8.00;8.00;8.25;8.17;10.00;8.00;10.00;10.00; 8.17;86.58
59;Arabica;Nicaragua;7.92;8.25;8.00;8.33;8.08;10.00;8.00;10.00;10.00; 8.00;86.58
60;Arabica;Tanzania, United Republic Of;8.42;8.17;8.17;8.00;8.00;10.00;7.58;10.00;10.00; 8.17;86.50
61;Arabica;Brazil;8.50;8.17;8.00;7.75;8.00;10.00;8.00;10.00;10.00; 8.00;86.42
62;Arabica;Costa Rica;8.17;7.83;8.00;8.08;8.00;10.00;7.83;10.00;10.00; 8.42;86.33
63;Arabica;Ethiopia;8.00;8.08;7.92;8.00;8.08;10.00;8.08;10.00;10.00; 8.08;86.25
64;Arabica;Kenya;8.08;8.00;8.00;8.25;7.92;10.00;7.92;10.00;10.00; 8.08;86.25
65;Arabica;United States (Hawaii);8.08;8.17;8.00;7.92;7.83;10.00;7.92;10.00;10.00; 8.33;86.25
66;Arabica;United States (Hawaii);8.25;8.42;8.08;7.75;7.83;10.00;7.67;10.00;10.00; 8.25;86.25
67;Arabica;Ethiopia;7.92;7.75;8.08;8.08;8.17;10.00;8.08;10.00;10.00; 8.17;86.25
68;Arabica;United States;7.67;8.17;8.00;8.00;8.08;10.00;8.17;10.00;10.00; 8.08;86.17
69;Arabica;Thailand;7.83;8.33;7.83;8.25;7.92;10.00;7.58;10.00;10.00; 8.42;86.17
70;Arabica;Brazil;8.17;7.92;7.92;7.75;8.00;10.00;8.33;10.00;10.00; 8.08;86.17
71;Arabica;Brazil;8.42;7.92;8.00;7.75;8.00;10.00;7.92;10.00;10.00; 8.17;86.17
72;Arabica;Taiwan;8.08;8.17;7.75;8.08;7.83;10.00;7.75;10.00;10.00; 8.42;86.08
73;Arabica;Kenya;8.08;8.08;8.00;8.00;8.08;10.00;7.83;10.00;10.00; 8.00;86.08
74;Arabica;Brazil;8.33;8.00;8.00;8.00;8.00;10.00;7.75;10.00;10.00; 8.00;86.08
75;Arabica;Uganda;8.08;8.08;7.83;7.92;7.92;10.00;8.08;10.00;10.00; 8.08;86.00
76;Arabica;Colombia;7.75;7.92;7.83;8.08;8.17;10.00;8.08;10.00;10.00; 8.17;86.00
77;Arabica;Kenya;7.92;8.17;7.83;8.50;7.92;10.00;7.50;10.00;10.00; 8.17;86.00
78;Arabica;Uganda;8.25;8.00;7.83;8.08;7.92;10.00;8.00;10.00;10.00; 7.92;86.00
79;Arabica;Ethiopia;7.75;8.08;8.00;8.25;8.00;10.00;8.00;10.00;10.00; 7.92;86.00
80;Arabica;United States (Hawaii);8.33;8.17;7.75;8.00;7.83;10.00;7.75;10.00;10.00; 8.17;86.00
81;Arabica;Guatemala;7.92;8.08;7.92;8.08;7.83;10.00;8.08;10.00;10.00; 8.00;85.92
82;Arabica;Uganda;8.17;8.17;7.92;8.08;7.75;10.00;7.83;10.00;10.00; 8.00;85.92
83;Arabica;Colombia;8.00;8.00;8.00;8.17;8.00;10.00;7.83;10.00;10.00; 7.92;85.92
84;Arabica;Panama;8.00;8.00;7.92;8.08;8.00;10.00;7.83;10.00;10.00; 8.00;85.83
85;Arabica;Ethiopia;7.83;8.08;7.92;8.08;7.92;10.00;8.00;10.00;10.00; 8.00;85.83
86;Arabica;Guatemala;7.83;8.00;8.00;8.17;8.00;10.00;7.83;10.00;10.00; 8.00;85.83
87;Arabica;Guatemala;8.00;8.00;7.83;8.33;7.83;10.00;7.83;10.00;10.00; 8.00;85.83
88;Arabica;Ethiopia;7.83;8.00;7.83;8.17;8.00;10.00;7.92;10.00;10.00; 8.00;85.75
89;Arabica;Peru;8.00;8.00;8.00;8.08;7.75;10.00;7.92;10.00;10.00; 8.00;85.75
90;Arabica;Papua New Guinea;8.33;8.42;7.83;8.33;8.25;10.00;8.00; 9.33; 9.33; 7.92;85.75
91;Arabica;El Salvador;7.92;8.17;8.00;7.92;7.83;10.00;7.75;10.00;10.00; 8.00;85.58
92;Arabica;El Salvador;7.83;8.00;8.00;7.75;8.17;10.00;7.92;10.00;10.00; 7.92;85.58
93;Arabica;United States (Hawaii);7.83;8.00;7.92;7.75;8.00;10.00;8.08;10.00;10.00; 8.00;85.58
94;Arabica;Panama;8.00;7.75;7.83;7.83;8.58;10.00;7.67;10.00;10.00; 7.83;85.50
95;Arabica;Kenya;7.92;7.92;7.83;8.08;7.92;10.00;7.83;10.00;10.00; 8.00;85.50
96;Arabica;Ethiopia;7.83;8.00;7.83;7.92;8.08;10.00;7.83;10.00;10.00; 8.00;85.50
97;Arabica;Uganda;8.33;7.92;7.67;7.92;7.92;10.00;7.67;10.00;10.00; 8.08;85.50
98;Arabica;Guatemala;8.00;7.83;7.67;8.33;8.00;10.00;7.83;10.00;10.00; 7.83;85.50
99;Arabica;Ethiopia;7.75;7.83;7.83;8.17;7.83;10.00;7.92;10.00;10.00; 8.08;85.42
100;Arabica;Uganda;8.08;8.00;7.83;7.67;7.83;10.00;8.00;10.00;10.00; 8.00;85.42
101;Arabica;United States (Hawaii);7.92;7.92;7.75;7.92;7.92;10.00;7.75;10.00;10.00; 8.25;85.42
102;Arabica;Brazil;8.00;8.00;8.00;7.67;8.00;10.00;7.75;10.00;10.00; 8.00;85.42
103;Arabica;El Salvador;8.08;7.83;7.83;8.08;7.83;10.00;7.83;10.00;10.00; 7.92;85.42
104;Arabica;China;8.00;8.00;8.00;7.83;7.75;10.00;7.83;10.00;10.00; 7.92;85.33
105;Arabica;Guatemala;7.83;7.75;7.83;7.67;8.58;10.00;7.83;10.00;10.00; 7.83;85.33
106;Arabica;Costa Rica;7.92;8.08;8.00;7.92;8.08; 9.33;8.00;10.00;10.00; 8.00;85.33
107;Arabica;Costa Rica;8.00;7.58;7.58;7.67;8.50;10.00;8.08;10.00;10.00; 7.92;85.33
108;Arabica;Kenya;7.83;8.08;7.75;8.08;7.75;10.00;7.92;10.00;10.00; 7.92;85.33
109;Arabica;Kenya;8.00;7.92;7.92;8.08;7.75;10.00;7.83;10.00;10.00; 7.83;85.33
110;Arabica;Ethiopia;7.83;7.83;7.92;8.08;7.83;10.00;7.75;10.00;10.00; 8.08;85.33
111;Arabica;Ethiopia;7.92;7.83;7.75;8.33;7.75;10.00;7.75;10.00;10.00; 8.00;85.33
112;Arabica;Guatemala;8.00;7.92;7.75;8.00;7.83;10.00;7.92;10.00;10.00; 7.83;85.25
113;Arabica;Colombia;8.17;7.92;7.83;8.00;7.83;10.00;7.58;10.00;10.00; 7.92;85.25
114;Arabica;Colombia;7.58;8.08;7.92;7.83;7.92;10.00;8.00;10.00;10.00; 7.92;85.25
115;Arabica;Indonesia;7.75;7.83;7.67;8.00;7.83;10.00;8.08;10.00;10.00; 8.00;85.17
116;Arabica;Guatemala;8.25;8.00;7.67;7.92;7.67;10.00;7.75;10.00;10.00; 7.92;85.17
117;Arabica;Ethiopia;7.75;8.00;7.58;8.00;7.92;10.00;8.00;10.00;10.00; 7.83;85.08
118;Arabica;Colombia;8.17;7.83;7.58;8.08;7.75;10.00;8.00;10.00;10.00; 7.67;85.08
119;Arabica;Ethiopia;8.42;8.00;7.42;8.00;7.92;10.00;7.92; 9.33;10.00; 8.08;85.08
120;Arabica;United States (Hawaii);7.58;7.83;7.83;7.92;8.17;10.00;7.83;10.00;10.00; 7.92;85.08
121;Arabica;Colombia;7.83;8.00;7.75;7.75;7.83;10.00;7.83;10.00;10.00; 8.08;85.08
122;Arabica;United States (Hawaii);8.08;8.17;7.92;8.00;8.00;10.00;8.08; 9.33; 9.33; 8.17;85.08
123;Arabica;Ethiopia;7.67;8.00;7.83;8.00;7.83;10.00;7.92;10.00;10.00; 7.83;85.08
124;Arabica;United States (Hawaii);7.50;7.92;8.25;7.83;7.75;10.00;7.92;10.00;10.00; 7.92;85.08
125;Arabica;Uganda;8.17;7.92;7.75;7.75;7.75;10.00;7.67;10.00;10.00; 8.00;85.00
126;Arabica;Colombia;8.00;7.92;7.75;7.92;7.83;10.00;7.75;10.00;10.00; 7.83;85.00
127;Arabica;Costa Rica;7.83;8.00;7.58;7.92;7.83;10.00;7.92;10.00;10.00; 7.92;85.00
128;Arabica;Mexico;7.83;8.00;7.83;7.75;7.83;10.00;7.67;10.00;10.00; 8.08;85.00
129;Arabica;Kenya;8.17;7.83;7.92;7.75;7.83;10.00;7.67;10.00;10.00; 7.83;85.00
130;Arabica;Kenya;7.75;7.83;7.75;8.08;7.75;10.00;8.00;10.00;10.00; 7.83;85.00
131;Arabica;Brazil;8.00;8.00;7.83;7.83;7.67;10.00;7.67;10.00;10.00; 8.00;85.00
132;Arabica;Mexico;7.92;8.17;7.75;8.08;7.83;10.00;7.42;10.00;10.00; 7.83;85.00
133;Arabica;United States (Hawaii);7.75;7.92;7.75;7.75;8.00;10.00;8.00;10.00;10.00; 7.83;85.00
134;Arabica;Guatemala;7.83;8.08;7.67;8.00;7.67;10.00;7.75;10.00;10.00; 8.00;85.00
135;Arabica;Colombia;7.92;7.92;7.67;7.83;7.83;10.00;7.92;10.00;10.00; 7.83;84.92
136;Arabica;Colombia;7.92;7.83;7.75;7.83;8.00;10.00;7.75;10.00;10.00; 7.83;84.92
137;Arabica;Taiwan;7.67;7.83;8.00;7.58;7.92;10.00;8.00;10.00;10.00; 7.92;84.92
138;Arabica;Tanzania, United Republic Of;8.00;7.83;7.83;7.92;7.75;10.00;7.75;10.00;10.00; 7.83;84.92
139;Arabica;Colombia;7.75;7.92;7.83;7.75;8.00;10.00;7.75;10.00;10.00; 7.92;84.92
140;Arabica;Mexico;7.75;8.00;7.75;7.83;7.92;10.00;7.50;10.00;10.00; 8.17;84.92
141;Arabica;Brazil;8.00;7.92;7.75;7.75;7.75;10.00;8.00;10.00;10.00; 7.75;84.92
142;Arabica;Brazil;8.00;8.00;7.75;8.00;7.75;10.00;7.50;10.00;10.00; 7.92;84.92
143;Arabica;Kenya;8.00;7.67;7.83;8.17;7.75;10.00;7.92;10.00;10.00; 7.58;84.92
144;Arabica;Taiwan;7.92;7.58;7.83;7.83;7.83;10.00;7.83;10.00;10.00; 8.00;84.83
145;Arabica;Uganda;7.75;7.92;7.67;7.67;7.75;10.00;8.25;10.00;10.00; 7.83;84.83
146;Arabica;United States (Hawaii);7.67;7.75;7.75;7.75;8.00;10.00;7.83;10.00;10.00; 8.08;84.83
147;Arabica;Ethiopia;7.75;7.92;7.83;7.92;7.67;10.00;7.75;10.00;10.00; 8.00;84.83
148;Arabica;Ethiopia;7.42;7.92;7.92;8.00;7.83;10.00;7.83;10.00;10.00; 7.92;84.83
149;Arabica;Thailand;7.75;7.75;7.75;7.75;7.75;10.00;8.00;10.00;10.00; 8.00;84.75
150;Arabica;Kenya;7.92;7.83;7.58;7.92;7.83;10.00;7.75;10.00;10.00; 7.92;84.75
151;Arabica;Honduras;7.83;7.75;8.00;7.67;7.67;10.00;7.67;10.00;10.00; 8.17;84.75
152;Arabica;El Salvador;7.75;8.00;8.00;8.33;7.92; 9.33;7.67;10.00;10.00; 7.75;84.75
153;Arabica;Nicaragua;7.83;7.58;7.58;7.83;7.67;10.00;7.75;10.00;10.00; 8.50;84.75
154;Arabica;El Salvador;7.83;7.83;7.50;8.00;7.67;10.00;7.83;10.00;10.00; 8.00;84.67
155;Arabica;Indonesia;7.92;7.83;7.75;7.75;7.75;10.00;7.75;10.00;10.00; 7.92;84.67
156;Arabica;Japan;7.75;7.75;7.75;7.42;7.83;10.00;8.08;10.00;10.00; 8.08;84.67
157;Arabica;Costa Rica;8.08;7.75;7.67;7.83;7.92;10.00;7.50;10.00;10.00; 7.92;84.67
158;Arabica;Guatemala;7.75;7.83;7.58;8.00;7.75;10.00;7.92;10.00;10.00; 7.83;84.67
159;Arabica;Costa Rica;8.17;8.00;7.83;7.17;7.75;10.00;7.83;10.00;10.00; 7.92;84.67
160;Arabica;Ethiopia;8.08;7.83;7.75;7.83;7.67;10.00;7.58;10.00;10.00; 7.92;84.67
161;Arabica;Costa Rica;7.67;7.58;7.75;7.75;8.58;10.00;7.67;10.00;10.00; 7.67;84.67
162;Arabica;Costa Rica;8.00;7.58;7.83;7.75;7.75;10.00;7.75;10.00;10.00; 8.00;84.67
163;Arabica;Costa Rica;8.08;7.83;7.75;7.83;8.00; 9.33;7.92;10.00;10.00; 7.92;84.67
164;Arabica;Taiwan;8.00;7.92;7.75;7.75;7.75;10.00;7.75;10.00;10.00; 7.75;84.67
165;Arabica;Colombia;7.75;7.83;7.75;7.83;7.83;10.00;7.75;10.00;10.00; 7.92;84.67
166;Arabica;Kenya;7.75;7.92;7.83;8.00;7.75;10.00;7.58;10.00;10.00; 7.83;84.67
167;Arabica;Guatemala;8.00;7.83;7.67;7.83;8.00;10.00;7.67;10.00;10.00; 7.67;84.67
168;Arabica;Guatemala;7.67;7.83;7.67;8.00;7.83;10.00;7.67;10.00;10.00; 8.00;84.67
169;Arabica;Mexico;7.83;7.58;7.67;7.92;7.83;10.00;7.92;10.00;10.00; 7.92;84.67
170;Arabica;Uganda;7.92;7.83;7.75;7.92;7.75;10.00;7.67;10.00;10.00; 7.83;84.67
171;Arabica;Peru;7.67;7.83;7.75;7.75;7.83;10.00;7.92;10.00;10.00; 7.92;84.67
172;Arabica;Ethiopia;7.42;7.75;7.75;8.00;7.92;10.00;8.00;10.00;10.00; 7.83;84.67
173;Arabica;Kenya;7.92;7.75;7.83;7.75;7.92;10.00;7.58;10.00;10.00; 7.83;84.58
174;Arabica;Colombia;7.83;7.67;7.58;7.92;7.83;10.00;7.67;10.00;10.00; 8.08;84.58
175;Arabica;Colombia;7.92;7.83;7.58;8.00;7.67;10.00;7.83;10.00;10.00; 7.75;84.58
176;Arabica;Kenya;7.83;7.83;7.83;7.75;7.83;10.00;7.58;10.00;10.00; 7.92;84.58
177;Arabica;Guatemala;7.75;7.83;7.67;7.92;7.83;10.00;7.75;10.00;10.00; 7.83;84.58
178;Arabica;Guatemala;8.00;7.92;7.67;7.58;7.67;10.00;7.58;10.00;10.00; 8.17;84.58
179;Arabica;Colombia;7.67;7.67;7.58;7.75;8.50;10.00;7.58;10.00;10.00; 7.83;84.58
180;Arabica;Colombia;7.75;7.75;7.83;7.75;8.00;10.00;7.58;10.00;10.00; 7.92;84.58
181;Arabica;Kenya;7.75;7.75;7.75;8.08;7.75;10.00;7.75;10.00;10.00; 7.75;84.58
182;Arabica;Colombia;7.67;7.83;7.83;8.00;7.92;10.00;7.58;10.00;10.00; 7.75;84.58
183;Arabica;Costa Rica;7.75;7.83;7.75;8.00;7.67;10.00;7.83;10.00;10.00; 7.75;84.58
184;Arabica;Colombia;7.42;7.67;7.75;7.75;7.83;10.00;8.08;10.00;10.00; 8.08;84.58
185;Arabica;Brazil;8.00;8.00;7.75;7.75;7.75;10.00;7.58;10.00;10.00; 7.75;84.58
186;Arabica;Brazil;8.50;8.00;7.50;7.75;7.83;10.00;7.50;10.00;10.00; 7.50;84.58
187;Arabica;Costa Rica;7.92;7.67;7.92;7.75;7.58;10.00;7.67;10.00;10.00; 8.00;84.50
188;Arabica;Uganda;7.92;7.75;7.67;7.75;7.75;10.00;7.83;10.00;10.00; 7.83;84.50
189;Arabica;China;7.75;7.92;7.67;7.83;7.67;10.00;7.75;10.00;10.00; 7.92;84.50
190;Arabica;Costa Rica;7.92;7.83;7.83;7.83;7.58;10.00;7.58;10.00;10.00; 7.92;84.50
191;Arabica;Colombia;8.08;7.67;7.83;7.83;7.67;10.00;7.67;10.00;10.00; 7.75;84.50
192;Arabica;China;7.67;8.00;7.75;7.83;7.58;10.00;7.75;10.00;10.00; 7.92;84.50
193;Arabica;Guatemala;8.17;7.83;7.67;7.83;7.83;10.00;7.67;10.00;10.00; 7.50;84.50
194;Arabica;Kenya;7.92;7.83;7.67;8.00;7.75;10.00;7.67;10.00;10.00; 7.67;84.50
195;Arabica;Mexico;8.00;7.92;7.42;8.08;7.67;10.00;7.50;10.00;10.00; 7.92;84.50
196;Arabica;Mexico;7.92;7.83;7.75;7.75;7.83;10.00;7.75;10.00;10.00; 7.67;84.50
197;Arabica;Guatemala;7.67;8.00;7.67;8.00;7.83;10.00;7.50;10.00;10.00; 7.83;84.50
198;Arabica;Brazil;7.81;7.81;7.88;7.75;8.25;10.00;7.38; 9.50;10.00; 8.13;84.50
199;Arabica;Brazil;8.17;7.67;7.75;7.75;7.75;10.00;7.67;10.00;10.00; 7.75;84.50
200;Arabica;Costa Rica;7.58;7.83;7.83;8.00;7.58;10.00;7.67;10.00;10.00; 7.92;84.42
201;Arabica;Indonesia;7.67;7.67;7.83;7.58;7.83;10.00;7.83;10.00;10.00; 8.00;84.42
202;Arabica;Colombia;7.92;7.83;7.75;7.67;7.67;10.00;7.92;10.00;10.00; 7.67;84.42
203;Arabica;Colombia;7.92;7.75;7.67;7.92;7.75;10.00;7.67;10.00;10.00; 7.75;84.42
204;Arabica;Taiwan;7.83;7.83;7.75;8.00;7.75;10.00;7.50;10.00;10.00; 7.75;84.42
205;Arabica;United States (Hawaii);7.92;7.92;7.50;7.83;7.92;10.00;7.50;10.00;10.00; 7.83;84.42
206;Arabica;Mexico;7.75;7.92;7.75;7.67;7.67;10.00;7.83;10.00;10.00; 7.83;84.42
207;Arabica;Ethiopia;7.50;7.75;7.83;7.92;7.75;10.00;7.92;10.00;10.00; 7.75;84.42
208;Arabica;Kenya;7.33;7.58;7.83;7.75;7.92;10.00;7.75;10.00;10.00; 8.17;84.33
209;Arabica;Honduras;7.92;8.00;7.75;7.67;7.75;10.00;7.67;10.00;10.00; 7.58;84.33
210;Arabica;Colombia;7.58;7.75;7.50;7.83;8.50;10.00;7.67;10.00;10.00; 7.50;84.33
211;Arabica;Honduras;7.58;7.92;7.58;7.75;7.75;10.00;7.92;10.00;10.00; 7.83;84.33
212;Arabica;Colombia;7.67;7.67;7.75;7.83;7.83;10.00;7.75;10.00;10.00; 7.83;84.33
213;Arabica;Colombia;7.75;7.67;8.00;7.67;7.83;10.00;8.08;10.00;10.00; 7.33;84.33
214;Arabica;Colombia;7.75;7.58;7.33;7.83;8.08;10.00;7.58;10.00;10.00; 8.17;84.33
215;Arabica;Mexico;8.00;7.75;7.75;7.83;7.67;10.00;7.50;10.00;10.00; 7.83;84.33
216;Arabica;Brazil;8.17;8.00;7.50;7.75;7.67;10.00;7.50;10.00;10.00; 7.75;84.33
217;Arabica;Brazil;8.00;8.00;7.50;7.50;7.75;10.00;7.67;10.00;10.00; 7.92;84.33
218;Arabica;Ethiopia;7.75;7.75;7.92;7.75;7.92;10.00;7.50;10.00;10.00; 7.75;84.33
219;Arabica;Guatemala;7.50;7.67;7.75;7.67;7.92;10.00;7.92;10.00;10.00; 7.92;84.33
220;Arabica;Taiwan;7.92;7.75;7.75;7.67;7.83;10.00;7.67;10.00;10.00; 7.67;84.25
221;Arabica;Thailand;7.83;7.75;7.75;7.42;7.67;10.00;7.83;10.00;10.00; 8.00;84.25
222;Arabica;Colombia;7.83;7.58;7.75;7.58;8.00;10.00;7.67;10.00;10.00; 7.83;84.25
223;Arabica;Guatemala;7.75;7.75;7.58;7.92;7.75;10.00;7.75;10.00;10.00; 7.75;84.25
224;Arabica;Guatemala;7.75;7.92;7.50;8.08;7.67;10.00;7.58;10.00;10.00; 7.75;84.25
225;Arabica;China;7.83;7.83;7.58;7.75;7.75;10.00;7.75;10.00;10.00; 7.75;84.25
226;Arabica;Colombia;7.67;7.67;7.75;7.75;7.92;10.00;7.67;10.00;10.00; 7.83;84.25
227;Arabica;Colombia;7.83;7.67;7.75;7.58;7.75;10.00;7.92;10.00;10.00; 7.75;84.25
228;Arabica;Colombia;7.83;7.75;7.83;7.58;7.75;10.00;7.67;10.00;10.00; 7.83;84.25
229;Arabica;Colombia;7.42;7.67;7.83;7.75;7.83;10.00;7.92;10.00;10.00; 7.83;84.25
230;Arabica;Tanzania, United Republic Of;7.83;7.67;7.75;7.83;7.67;10.00;7.67;10.00;10.00; 7.83;84.25
231;Arabica;Tanzania, United Republic Of;7.83;7.75;7.75;7.75;7.75;10.00;7.67;10.00;10.00; 7.75;84.25
232;Arabica;Guatemala;7.83;7.83;7.50;7.92;7.75;10.00;7.58;10.00;10.00; 7.83;84.25
233;Arabica;Colombia;7.58;7.50;7.75;7.83;7.83;10.00;7.92;10.00;10.00; 7.83;84.25
234;Arabica;United States (Hawaii);7.33;7.92;7.92;7.92;8.08; 9.33;7.92;10.00;10.00; 7.83;84.25
235;Arabica;Mexico;7.83;7.92;7.67;7.83;7.75;10.00;7.50;10.00;10.00; 7.75;84.25
236;Arabica;Mexico;7.83;7.83;7.75;7.67;7.58;10.00;7.83;10.00;10.00; 7.75;84.25
237;Arabica;Mexico;7.83;7.92;7.67;7.75;7.75;10.00;7.50;10.00;10.00; 7.83;84.25
238;Arabica;Uganda;8.17;7.75;7.58;7.67;7.58;10.00;7.83;10.00;10.00; 7.67;84.25
239;Arabica;Guatemala;7.75;7.83;7.58;7.83;7.75;10.00;7.67;10.00;10.00; 7.75;84.17
